Date,Close/Last,Volume,Open,High,Low
01/17/2024,$186.56,244235,$186.68,$187.54,$183.80
01/16/2024,$188.30,226337,$188.20,$189.09,$186.32
01/12/2024,$188.80,112747,$190.59,$191.34,$187.20
01/11/2024,$188.51,212978,$186.39,$189.58,$182.76
01/10/2024,$185.56,214291,$189.33,$191.99,$185.45
01/09/2024,$189.20,148206,$185.57,$189.22,$184.3304
01/08/2024,$188.38,197845,$183.45,$189.89,$183.45
01/05/2024,$184.29,212184,$181.22,$186.78,$181.22
01/04/2024,$182.59,306763,$184.26,$185.96,$182.58
01/03/2024,$185.33,233748,$186.66,$190.08,$185.255
01/02/2024,$189.13,329185,$186.92,$189.72,$185.19
12/29/2023,$190.33,296974,$195.18,$196.05,$189.51
12/28/2023,$196.91,187478,$196.93,$198.43,$196.025
12/27/2023,$198.08,327592,$196.82,$199.99,$196.00
12/26/2023,$196.30,199427,$192.71,$196.44,$192.24
12/22/2023,$191.97,204676,$192.15,$193.48,$190.69
12/21/2023,$191.42,245867,$191.12,$192.57,$188.9334
12/20/2023,$188.26,432302,$191.09,$195.23,$187.69
12/19/2023,$191.74,517719,$193.97,$196.885,$189.18
12/18/2023,$192.17,447783,$189.65,$193.55,$185.98
12/15/2023,$188.53,823160,$190.00,$190.00,$183.75
12/14/2023,$186.91,564018,$179.89,$187.80,$179.62
12/13/2023,$176.17,303357,$171.41,$177.085,$171.185
12/12/2023,$171.49,198635,$171.39,$171.86,$168.51
12/11/2023,$170.96,275409,$166.65,$172.027,$166.65
12/08/2023,$166.25,187482,$164.50,$168.01,$164.50
12/07/2023,$165.11,160004,$162.15,$165.54,$161.20
12/06/2023,$162.55,357915,$166.74,$168.00,$161.56
12/05/2023,$164.84,241140,$166.61,$166.61,$162.80
12/04/2023,$166.98,268656,$164.40,$167.07,$163.6701
12/01/2023,$165.00,248506,$161.33,$166.74,$161.33
11/30/2023,$161.90,491477,$163.08,$163.74,$159.305
11/29/2023,$163.00,300318,$164.89,$168.19,$161.19
11/28/2023,$164.31,198486,$164.53,$166.20,$162.80
11/27/2023,$163.49,210043,$164.14,$165.73,$162.07
11/24/2023,$165.08,98010,$166.87,$166.87,$164.205
11/22/2023,$165.63,220394,$167.26,$169.69,$164.78
11/21/2023,$165.68,289989,$169.43,$169.795,$164.91
11/20/2023,$171.18,163366,$172.00,$172.31,$169.86
11/17/2023,$171.23,239236,$170.30,$172.54,$169.80
11/16/2023,$168.28,188933,$169.82,$170.82,$167.07
11/15/2023,$171.26,292188,$174.74,$176.87,$171.20
11/14/2023,$174.50,264863,$174.05,$176.135,$172.59
11/13/2023,$169.18,336449,$167.00,$169.50,$165.16
11/10/2023,$167.64,274249,$168.58,$168.58,$164.57
11/09/2023,$167.00,270470,$171.92,$172.29,$166.05
11/08/2023,$171.93,431485,$171.79,$176.85,$169.38
11/07/2023,$171.51,971300,$163.15,$176.00,$157.55
11/06/2023,$161.59,504628,$162.75,$164.9073,$160.65
11/03/2023,$162.52,349985,$157.13,$164.06,$157.00
11/02/2023,$155.21,374036,$156.25,$158.68,$152.80
11/01/2023,$153.73,412245,$154.94,$156.48,$152.27
10/31/2023,$155.00,287312,$153.29,$156.45,$149.19
10/30/2023,$154.45,308001,$154.05,$155.905,$152.05
10/27/2023,$151.97,433940,$154.22,$154.98,$149.46
10/26/2023,$153.26,522009,$161.98,$162.30,$151.53
10/25/2023,$161.16,202862,$164.38,$164.38,$161.11
10/24/2023,$164.68,178147,$162.98,$165.68,$162.91
10/23/2023,$162.94,299745,$160.05,$164.89,$158.65
10/20/2023,$160.73,262538,$163.52,$164.15,$158.42
10/19/2023,$163.98,298660,$167.92,$168.03,$163.5575
10/18/2023,$167.67,450902,$172.08,$172.94,$167.10
10/17/2023,$174.59,229737,$172.61,$176.885,$172.07
10/16/2023,$175.67,197901,$175.42,$178.80,$174.79
10/13/2023,$173.18,283448,$178.44,$178.99,$172.04
10/12/2023,$178.78,291502,$182.40,$183.74,$178.21
10/11/2023,$181.96,330618,$178.49,$182.30,$177.81
10/10/2023,$177.81,400235,$176.28,$183.16,$174.62
10/09/2023,$175.55,294858,$173.89,$176.9282,$171.63
10/06/2023,$175.76,729507,$174.00,$182.47,$174.00
10/05/2023,$174.12,589960,$173.06,$174.41,$169.00
10/04/2023,$170.10,295377,$167.70,$170.77,$166.6999
10/03/2023,$167.58,414744,$167.78,$169.30,$166.43
10/02/2023,$168.36,419350,$166.32,$168.37,$165.60
09/29/2023,$166.62,561958,$168.65,$170.0699,$165.00
09/28/2023,$167.90,856954,$159.10,$169.29,$158.41
09/27/2023,$158.92,516747,$155.20,$160.167,$154.68
09/26/2023,$153.65,250019,$155.30,$155.90,$153.34
09/25/2023,$156.16,302453,$155.04,$158.87,$154.71
09/22/2023,$156.08,431767,$152.42,$157.53,$151.78
09/21/2023,$151.27,384330,$151.96,$153.23,$151.00
09/20/2023,$153.76,220671,$153.44,$156.2899,$153.01
09/19/2023,$152.55,317094,$150.18,$152.92,$149.48
09/18/2023,$149.88,168010,$150.06,$152.0439,$148.9747
09/15/2023,$151.24,559436,$149.99,$151.41,$149.19
09/14/2023,$150.09,164276,$149.16,$150.98,$148.30
09/13/2023,$148.18,200534,$148.68,$149.27,$146.65
09/12/2023,$148.80,168726,$151.12,$152.625,$148.49
09/11/2023,$152.06,250299,$152.71,$153.87,$151.0475
09/08/2023,$151.72,240195,$151.38,$152.68,$149.44
09/07/2023,$151.52,248545,$153.10,$153.57,$149.58
09/06/2023,$153.90,193984,$156.76,$157.55,$153.505
09/05/2023,$156.49,278844,$157.68,$157.68,$154.23
09/01/2023,$160.52,182200,$161.85,$163.00,$160.33
08/31/2023,$160.77,423596,$158.22,$161.84,$157.34
08/30/2023,$158.35,257920,$159.20,$160.00,$156.97
08/29/2023,$157.46,303016,$155.76,$159.02,$154.59
08/28/2023,$155.58,303593,$156.00,$157.91,$153.562
08/25/2023,$156.78,553261,$159.37,$159.748,$151.95
08/24/2023,$158.91,878558,$160.51,$163.08,$158.45
08/23/2023,$162.99,1112162,$153.66,$163.88,$153.66
08/22/2023,$153.66,2107476,$153.82,$154.89,$143.573
08/21/2023,$116.78,565439,$117.95,$119.59,$116.63
08/18/2023,$117.85,261525,$114.84,$118.80,$114.84
08/17/2023,$116.23,194450,$117.38,$117.745,$115.21
08/16/2023,$116.58,410969,$118.51,$119.22,$114.83
08/15/2023,$121.08,128488,$121.33,$122.37,$120.19
08/14/2023,$121.87,270659,$121.60,$122.02,$119.76
08/11/2023,$121.99,186261,$121.17,$122.67,$121.17
08/10/2023,$121.74,274428,$124.15,$125.19,$120.625
08/09/2023,$124.51,150703,$124.11,$125.74,$123.36
08/08/2023,$124.60,278228,$126.18,$126.275,$122.86
08/07/2023,$126.83,227648,$126.52,$128.1345,$125.12
08/04/2023,$126.41,338615,$121.15,$127.16,$120.81
08/03/2023,$121.76,201272,$120.00,$122.12,$119.10
08/02/2023,$121.50,269257,$122.10,$123.47,$121.04
08/01/2023,$123.63,347415,$122.76,$123.64,$121.18
07/31/2023,$123.64,239132,$124.59,$125.00,$123.41
07/28/2023,$124.44,308654,$127.42,$127.49,$122.75
