Date,Close/Last,Volume,Open,High,Low
02/23/2024,$122.82,971026,$121.04,$123.14,$119.80
02/22/2024,$121.22,1206798,$119.25,$122.88,$117.86
02/21/2024,$117.25,1026813,$115.12,$117.84,$113.75
02/20/2024,$116.39,2122753,$120.52,$120.90,$115.16
02/16/2024,$120.90,1206365,$119.91,$122.2499,$118.5855
02/15/2024,$119.80,1373767,$118.81,$120.89,$118.2878
02/14/2024,$119.25,1679646,$118.66,$120.52,$116.81
02/13/2024,$116.85,2106401,$108.80,$117.415,$108.80
02/12/2024,$114.94,1969649,$111.56,$115.54,$110.81
02/09/2024,$110.11,1380170,$107.47,$110.77,$107.47
02/08/2024,$107.32,1358785,$104.44,$108.2781,$104.34
02/07/2024,$103.96,1146563,$103.57,$104.66,$101.59
02/06/2024,$104.08,1104041,$105.94,$106.47,$103.45
02/05/2024,$106.45,1552198,$108.75,$109.87,$104.86
02/02/2024,$109.47,1224798,$106.27,$110.17,$105.41
02/01/2024,$106.58,1083349,$103.17,$107.00,$102.7666
01/31/2024,$101.90,1416279,$105.35,$105.5169,$101.135
01/30/2024,$105.69,907544,$105.15,$106.00,$104.44
01/29/2024,$105.06,884148,$104.22,$105.28,$103.22
01/26/2024,$103.80,791797,$102.36,$103.88,$101.3901
01/25/2024,$102.46,654534,$104.01,$104.01,$100.84
01/24/2024,$102.19,1352449,$103.19,$104.97,$101.65
01/23/2024,$102.61,1103212,$105.19,$105.81,$101.50
01/22/2024,$104.67,1311820,$102.00,$104.67,$101.90
01/19/2024,$101.11,1467127,$98.13,$101.27,$96.97
01/18/2024,$97.03,1554117,$100.29,$100.81,$95.51
01/17/2024,$99.47,976221,$98.26,$99.51,$97.40
01/16/2024,$98.89,1334828,$96.40,$99.25,$95.93
01/12/2024,$96.79,1577847,$98.21,$99.49,$96.04
01/11/2024,$98.43,1787769,$97.00,$98.73,$95.4701
01/10/2024,$96.71,1368554,$94.19,$97.37,$94.19
01/09/2024,$94.01,1436189,$96.50,$98.00,$93.91
01/08/2024,$96.22,3159258,$92.69,$99.0799,$92.245
01/05/2024,$90.54,1791887,$93.09,$94.25,$90.52
01/04/2024,$92.50,1742635,$89.91,$94.27,$89.72
01/03/2024,$88.76,1409718,$89.74,$90.97,$88.625
01/02/2024,$90.96,1548181,$87.47,$91.19,$86.91
12/29/2023,$88.22,1396298,$90.13,$90.50,$87.33
12/28/2023,$90.01,1488398,$90.50,$91.24,$88.04
12/27/2023,$91.39,770084,$91.80,$92.2386,$90.79
12/26/2023,$91.56,1292802,$93.73,$94.08,$90.77
12/22/2023,$92.58,1216608,$91.50,$93.87,$90.20
12/21/2023,$93.19,1410990,$92.15,$93.7299,$91.99
12/20/2023,$89.89,1575023,$90.85,$92.2448,$89.634
12/19/2023,$90.96,1501974,$87.21,$91.315,$86.9101
12/18/2023,$86.67,1324602,$84.19,$86.80,$83.50
12/15/2023,$84.17,2907860,$83.87,$85.1499,$82.60
12/14/2023,$83.82,1199009,$84.73,$86.0894,$82.77
12/13/2023,$83.75,1728326,$83.56,$84.45,$82.80
12/12/2023,$83.52,1329443,$81.60,$84.59,$81.28
12/11/2023,$81.63,1404226,$79.46,$82.14,$79.20
12/08/2023,$78.65,784086,$77.60,$78.76,$77.31
12/07/2023,$77.94,1025473,$76.96,$78.1599,$76.82
12/06/2023,$77.13,1201605,$78.51,$79.1799,$77.04
12/05/2023,$77.73,1232666,$77.17,$77.79,$75.69
12/04/2023,$77.22,1174437,$77.75,$78.83,$76.015
12/01/2023,$77.88,1324481,$75.81,$78.29,$75.175
11/30/2023,$75.89,1449223,$76.01,$76.77,$75.20
11/29/2023,$76.13,1295057,$78.00,$78.41,$75.825
11/28/2023,$77.73,1394337,$76.12,$77.87,$74.68
11/27/2023,$76.40,2027830,$73.60,$76.41,$72.98
11/24/2023,$73.31,715610,$73.45,$74.00,$72.13
11/22/2023,$72.81,2030704,$73.43,$75.32,$71.14
11/21/2023,$74.03,5863705,$70.22,$74.77,$65.6001
11/20/2023,$72.29,3039730,$73.27,$74.75,$72.14
11/17/2023,$73.57,2649124,$70.58,$74.47,$70.18
11/16/2023,$68.98,1790103,$69.00,$70.32,$67.84
11/15/2023,$69.80,1716699,$69.95,$71.85,$69.77
11/14/2023,$68.68,1636022,$68.20,$69.86,$67.985
11/13/2023,$66.39,995513,$66.89,$67.10,$66.045
11/10/2023,$66.97,960989,$67.01,$67.27,$65.34
11/09/2023,$66.75,1324225,$68.46,$68.46,$65.89
11/08/2023,$67.92,1297168,$67.81,$68.42,$66.55
11/07/2023,$67.81,1638855,$66.49,$67.97,$65.67
11/06/2023,$66.27,1339614,$65.16,$66.615,$64.87
11/03/2023,$65.50,1529813,$63.81,$66.165,$63.725
11/02/2023,$63.31,1154524,$62.46,$63.4599,$62.23
11/01/2023,$62.13,1274331,$60.75,$62.14,$60.21
10/31/2023,$60.82,1042729,$59.44,$61.00,$58.545
10/30/2023,$59.61,1488227,$58.93,$60.58,$57.78
10/27/2023,$58.72,1948323,$59.80,$61.665,$58.36
10/26/2023,$59.85,1213238,$61.35,$61.57,$59.00
10/25/2023,$61.58,1291147,$62.18,$63.46,$61.47
10/24/2023,$62.35,1748489,$60.89,$62.445,$60.32
10/23/2023,$59.97,993303,$60.69,$60.84,$59.26
10/20/2023,$60.90,1227157,$60.34,$61.385,$59.7386
10/19/2023,$60.66,1538349,$63.36,$63.375,$60.50
10/18/2023,$63.24,1124884,$62.80,$63.80,$62.20
10/17/2023,$62.98,1407564,$62.30,$64.85,$62.06
10/16/2023,$62.72,1575067,$61.25,$63.225,$60.82
10/13/2023,$60.39,1440291,$61.44,$61.55,$60.0106
10/12/2023,$61.74,1801102,$61.83,$63.04,$60.58
10/11/2023,$61.50,1680663,$59.80,$61.59,$59.54
10/10/2023,$59.77,1775466,$56.91,$59.88,$56.91
10/09/2023,$56.88,1588963,$55.01,$57.49,$54.47
10/06/2023,$55.01,1494533,$54.10,$55.45,$53.21
10/05/2023,$54.54,1507502,$54.84,$54.935,$53.16
10/04/2023,$55.13,2104466,$55.69,$55.89,$53.65
10/03/2023,$55.49,2408606,$58.00,$58.21,$55.06
10/02/2023,$58.31,2068136,$56.95,$58.40,$56.94
09/29/2023,$56.37,1495697,$56.79,$56.79,$55.61
09/28/2023,$56.05,1460826,$55.55,$56.14,$54.6801
09/27/2023,$54.56,1667547,$53.27,$54.70,$53.15
09/26/2023,$52.84,1629667,$51.20,$53.07,$51.05
09/25/2023,$51.76,1596947,$50.25,$52.83,$50.03
09/22/2023,$50.63,1418686,$49.62,$51.35,$49.55
09/21/2023,$49.32,1162846,$50.05,$50.195,$49.24
09/20/2023,$50.25,1192321,$50.78,$51.71,$50.23
09/19/2023,$50.58,1503725,$50.95,$51.28,$50.14
09/18/2023,$50.89,1631735,$52.15,$52.52,$50.80
09/15/2023,$52.40,2848954,$50.84,$52.40,$50.66
09/14/2023,$51.26,1342577,$50.99,$51.98,$50.99
09/13/2023,$50.64,1592845,$52.08,$52.30,$50.58
09/12/2023,$52.26,1719315,$53.09,$53.51,$52.10
09/11/2023,$53.40,1740916,$53.89,$54.6751,$53.37
09/08/2023,$53.32,1215852,$54.37,$54.795,$53.24
09/07/2023,$54.61,1061024,$55.52,$55.52,$54.0775
09/06/2023,$54.98,1389699,$55.07,$55.435,$54.01
09/05/2023,$54.85,1618108,$54.14,$55.275,$53.71
09/01/2023,$54.50,1419962,$53.95,$54.69,$53.32
08/31/2023,$53.75,1508118,$52.24,$53.79,$52.12
08/30/2023,$52.29,2249711,$51.36,$53.98,$51.25
08/29/2023,$51.32,1469863,$49.74,$51.32,$49.715
08/28/2023,$49.51,2654591,$49.80,$50.86,$49.11
08/25/2023,$50.16,2841825,$51.38,$51.48,$49.76
08/24/2023,$50.46,3875358,$51.20,$53.0208,$50.38
08/23/2023,$50.86,12120550,$49.72,$51.90,$47.13
08/22/2023,$41.17,3415058,$40.52,$41.66,$40.50
08/21/2023,$41.76,2400344,$42.88,$43.475,$41.75
08/18/2023,$43.20,2235077,$40.85,$43.335,$40.802
08/17/2023,$41.11,1281350,$42.00,$42.50,$41.10
08/16/2023,$41.96,1784887,$42.15,$42.70,$41.44
08/15/2023,$41.43,1220413,$41.28,$41.725,$41.05
08/14/2023,$41.36,1764145,$39.57,$41.55,$39.30
08/11/2023,$39.44,1150141,$39.93,$40.12,$39.36
08/10/2023,$40.29,1291529,$40.03,$40.85,$39.61
08/09/2023,$39.93,1050914,$39.64,$40.24,$39.24
08/08/2023,$39.66,1361549,$39.25,$39.76,$38.62
08/07/2023,$39.45,1002519,$39.49,$39.66,$39.11
08/04/2023,$39.23,1242930,$39.00,$39.34,$38.68
08/03/2023,$39.00,1541602,$39.59,$39.68,$38.5401
08/02/2023,$38.92,2091431,$38.89,$39.265,$38.53
08/01/2023,$39.50,1528798,$39.64,$39.805,$39.25
07/31/2023,$39.61,1710995,$40.39,$40.47,$39.41
07/28/2023,$39.98,1864065,$39.14,$40.50,$39.02
07/27/2023,$38.96,1799644,$38.97,$39.70,$38.66
07/26/2023,$38.71,1600182,$37.91,$38.78,$37.75
07/25/2023,$37.70,1412739,$37.17,$37.99,$36.782
